title,console,date,year,month,day
The Sims™ 4 Laundry Day Stuff,1,2018-08-14,2018,8,14
The Elder Scrolls Online: Greymoor,1,2020-06-09,2020,6,9
Surviving Mars,1,2018-03-15,2018,3,15
School Girl/Zombie Hunter,0,2017-11-17,2017,11,17
STAR WARS™ Episode I Racer,0,2020-10-27,2020,10,27
NIER REPLICANT VER.1.22474487139…,1,2021-04-22,2021,4,22
The Station,1,2017-07-31,2017,7,31
Hidden Dragon Legend,0,2017-09-19,2017,9,19
Air Missions: Hind,0,2018-09-25,2018,9,25
Zombie Army 4: Dead War,1,2020-02-04,2020,2,4
Dead by Daylight: Nightmare Edition,1,2019-12-06,2019,12,6
Blood & Truth,0,1997-03-07,1997,3,7
Marooners,1,2018-02-06,2018,2,6
Hunting Simulator 2,1,2020-06-25,2020,6,25
Effie,0,2021-02-19,2021,2,19
Little Witch Academia: Chamber of Time,0,2018-05-15,2018,5,15
MXGP PRO,1,2018-07-10,2018,7,10
DWVR,0,2016-12-15,2016,12,15
Jettomero: Hero of the Universe,1,2018-02-27,2018,2,27
The aquatic Adventure of the Last Human,1,2018-01-23,2018,1,23
Pure Farming 2018,1,2018-03-13,2018,3,13
Tetris Effect,0,2018-11-09,2018,11,9
Horizon Chase Turbo,0,2018-11-28,2018,11,28
TT Isle of Man,1,2020-03-19,2020,3,19
Mystik Belle ,0,2017-12-31,2017,12,31
Another Sight,0,2019-06-18,2019,6,18
Mega Man Zero/ZX Legacy Collection,1,2020-02-25,2020,2,25
Asdivine Kamura,0,2019-10-01,2019,10,1
Where the Water Tastes Like Wine,0,2019-11-29,2019,11,29
Let's Sing 2018,0,2017-10-20,2017,10,20
Railway Empire,1,2018-01-30,2018,1,30
ACA NEOGEO FOOTBALL FRENZY,1,2018-08-30,2018,8,30
Under Night In-Birth Exe:Late[cl-r],0,2020-02-21,2020,2,21
SUPER AMAZEBALLS,0,2017-05-16,2017,5,16
Rocketbirds: Hardboiled Chicken,0,2020-11-16,2020,11,16
DOOM Slayers Collection,1,2020-08-04,2020,8,4
Socketeer,1,2018-08-21,2018,8,21
My Little Riding Champion,1,2018-11-29,2018,11,29
Hellpoint,0,2020-07-30,2020,7,30
Demon's Tier+,0,2020-06-09,2020,6,9
Starbound,1,2016-07-21,2016,7,21
Creed: Rise to Glory,0,2018-09-25,2018,9,25
